date,spy_close,sso_close,sma200,spread,buy_threshold,sell_threshold,spy_20d_volatility,trend_signal,trend_state,signal,position,target_spy_pct,target_sso_pct,target_cash_pct,reason,spy_daily_return,sso_daily_return,strategy_return,strategy_value,spy_benchmark_value,strategy_drawdown,spy_drawdown,spread_cycle,cycle_high_floor,cycle_max_spread,cycle_max_date,in_cycle_high_range,vix_close
2025-10-08,667.579163,56.822517,594.437584,0.123043,600.38196,588.493208,0.063212,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 6.32%, at or below 15%; target 100% SSO.",0.005963,0.01159,0.01159,14040.180902,7712.086817,0.0,0.0,32,0.114346,0.135231,2025-10-28,True,16.299999
2025-10-09,665.645203,56.489559,594.894301,0.11893,600.843244,588.945358,0.060171,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 6.02%, at or below 15%; target 100% SSO.",-0.002897,-0.00586,-0.00586,13957.910811,7689.745097,-0.00586,-0.002897,32,0.114346,0.135231,2025-10-28,True,16.43
2025-10-10,647.654236,53.418339,595.226572,0.08808,601.178838,589.274306,0.116875,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 11.69%, at or below 15%; target 100% SSO.",-0.027028,-0.054368,-0.054368,13199.048094,7481.907726,-0.059909,-0.029847,32,0.114346,0.135231,2025-10-28,False,21.66
2025-10-13,657.591919,55.038433,595.59113,0.1041,601.547041,589.635218,0.128005,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 12.80%, at or below 15%; target 100% SSO.",0.015344,0.030328,0.030328,13599.354488,7596.711002,-0.031397,-0.01496,32,0.114346,0.135231,2025-10-28,False,19.030001
2025-10-14,656.788574,54.899288,595.919177,0.102144,601.878369,589.959985,0.127978,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 12.80%, at or below 15%; target 100% SSO.",-0.001222,-0.002528,-0.002528,13564.973407,7587.430508,-0.033846,-0.016164,32,0.114346,0.135231,2025-10-28,False,20.809999
2025-10-15,659.704468,55.361458,596.261607,0.106401,602.224223,590.298991,0.128635,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 12.86%, at or below 15%; target 100% SSO.",0.00444,0.008418,0.008418,13679.170133,7621.115838,-0.025713,-0.011796,32,0.114346,0.135231,2025-10-28,False,20.639999
2025-10-16,655.21167,54.620991,596.61269,0.098219,602.578817,590.646564,0.130287,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.03%, at or below 15%; target 100% SSO.",-0.00681,-0.013375,-0.013375,13496.209362,7569.213608,-0.038744,-0.018526,32,0.114346,0.135231,2025-10-28,False,25.309999
2025-10-17,658.930847,55.19746,597.015748,0.103708,602.985906,591.045591,0.130673,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.07%, at or below 15%; target 100% SSO.",0.005676,0.010554,0.010554,13638.648228,7612.178727,-0.028599,-0.012955,32,0.114346,0.135231,2025-10-28,False,20.780001
2025-10-20,665.784058,56.35041,597.463592,0.114351,603.438228,591.488956,0.13483,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.48%, at or below 15%; target 100% SSO.",0.010401,0.020888,0.020888,13923.528788,7691.349194,-0.008308,-0.002689,32,0.114346,0.135231,2025-10-28,True,18.23
2025-10-21,665.774048,56.325562,597.918465,0.113486,603.89765,591.93928,0.133093,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.31%, at or below 15%; target 100% SSO.",-1.5e-05,-0.000441,-0.000441,13917.388906,7691.233558,-0.008746,-0.002704,32,0.114346,0.135231,2025-10-28,False,17.870001
